Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000007866	739	1126	836	442	1516	1226	74	1542	1750
ENSG00000007908	16	3	134	273	260	141	136	80	11
ENSG00000007923	871	2611	1535	1256	2507	1753	152.66	2721	2431
ENSG00000007933	9	88	154	77	445	635	132	169	11
ENSG00000007944	272	832	728	575	1595	860	131	1015	1322
ENSG00000007952	5	2	3	2	7	8	43	3	1
ENSG00000007968	82	305	302	134	216	674	208	162	1215
ENSG00000008018	416	2506	972	572	1572	1006	20	1398	1084
ENSG00000008056	26	59	65	664	157	135	359	23	178
ENSG00000008083	494	1738	1902	2147	2838	3504	421	1329	2196
ENSG00000008086	111	5645	768	494	2912	1595	1400.65	1299	1108
ENSG00000008118	37	12	41	121	72	21	109	5	2309
ENSG00000008128	612.91	1128.8	1619.92	1506.65	2526.95	1507.58	367.43	1703.77	2691.98
ENSG00000008130	1245	1516	2184	1556	2756	2116	276	4112	3356
ENSG00000008196	3	7	149	59	2144	3	229	400	12631
ENSG00000008197	3	0	0	0	0	0	183	1	2
ENSG00000008226	74.55	212.36	210.38	124.38	686.67	154.77	594.91	330.89	207.44
ENSG00000008256	175	3675	547	296	2015	1114	230	1130	749
ENSG00000008277	123	675	236	172	1102	62	84	332	902
ENSG00000008282	314	2058	1640	737	3376	2657	160	2026	1276
ENSG00000008283	631	1103	291	547	467	1119	151	536	796
ENSG00000008294	829	5092	3074	3932	9864	5363	276	3550	2693
ENSG00000008300	74	506	512	4314	1131	2592	1409	143	5765
ENSG00000008311	78	798	1174	490	3120	1870	191	798	1272
ENSG00000008323	1557	405	253	307	921	29765	296	1598	1093
ENSG00000008324	42	128	88	57	175	119	32	147	161
ENSG00000008382	483.46	749.91	468.66	316.99	680.82	1607.71	139.14	829.54	1043.93
ENSG00000008394	5	231	467	55	1943	639	66	413	8059
ENSG00000008405	52	1712	622	434	1471	1139	154	883	853
ENSG00000008438	9	24	18	13	40	47	64	18	41
ENSG00000008441	1367	8884	5200	1146	6687	1377	344	9465	2016
ENSG00000008513	189	1666	608	352	1519.89	691	217.66	208	281
ENSG00000008516	42.09	141.88	170.85	89.72	297.42	206.6	113.02	57.45	78.76
ENSG00000008517	169	942	1972	1775	2961	2653	219	884	334
ENSG00000008710	4065.87	8306.37	8454.02	3876.56	14351.53	9419.28	1433.43	12908.4	16012.4
ENSG00000008735	831	1091	854	2200	1102	682	245	226	522
ENSG00000008838	2703	7032	3287	4062	4822	7799	397	4168	6032
ENSG00000008853	250.56	1395.08	686.12	472.4	1585.22	1276.62	174.94	656.87	3095.97
ENSG00000008869	827	4276	3606	1356	6891	4768	311	5304	2991
ENSG00000008952	565	2287	1663	895	4547	1189	144	1587	1014
ENSG00000008988	6106.93	28382.04	11888.77	11705.46	29679.95	19662.68	273.73	19560.82	10536.2
ENSG00000009307	3826	17396.92	16314.95	10229.29	31100.91	12902.81	253	23850.31	11818.87
